|positive|,|the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .|
|positive|,|the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .|
|positive|,|effective but too-tepid biopic|
|positive|,|if you sometimes like to go to the movies to have fun , wasabi is a good place to start .|
|positive|,|emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .|
|positive|,|the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .|
|positive|,|offers that rare combination of entertainment and education .|
|positive|,|perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .|
|positive|,|steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .|
|positive|,|take care of my cat offers a refreshingly different slice of asian cinema .|
|positive|,|this is a film well worth seeing , talking and singing heads and all .|
|positive|,|what really surprises about wisegirls is its low-key quality and genuine tenderness .|
|positive|,|( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .|
|positive|,|one of the greatest family-oriented , fantasy-adventure movies ever .|
|positive|,|ultimately , it ponders the reasons we need stories so much .|
|positive|,|an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .|
|positive|,|illuminating if overly talky documentary .|
|positive|,|a masterpiece four years in the making .|
|positive|,|@Emmmaa___ haha was it good? i bet it was "|
|positive|,|Heading out to do a relay in the Belfast marathon "|
|positive|,|@marlooz Clever girl "|
|positive|,|mmm  eating tostitos &amp;&amp; piknik with spinach dip from S&amp;R. &lt;3"|
|positive|,|Cuba trip booked "|
|positive|,|@psymon_spark heheh.  Odd though, I thought a couple of the others I'd done were better "|
|positive|,|@puerhan Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy "|
|positive|,|making mashed potatoes, and vegies to go with @JoelyRighteous's t-bone steak for when he gets home "|
|positive|,|just signed up..so, hello twitter world, here I am "|
|positive|,|Oops that would be #edaust09 "|
|positive|,|@chainsawchelsea If it's any consolation, you're definitely one of the hottest GG's, IMHO "|
|positive|,|@elibrody why.. just continue.. i'll keep sitting with crossed legs  "|
|positive|,|@issaleuterio did you watch it? "|
|positive|,|right guys i have to go "|
|positive|,|@khali_blache Night! Doze well. "|
|positive|,|@unclelarko not sure I like this way to learn a new language  I prefer to be &quot;on location&quot;, so I can practice, ask Qs and get answers "|
|positive|,|@jp1983 Ahhh Lincoln...i'll run..see you in 2 hours "|
|positive|,|forgot about my old twitter account please follow itsjeff i will stop this account soon...i prefer the address that doesnt have my age "|
|positive|,|@ work.. This week some new instrumentals.. stay updated "|
|positive|,|Today celebrating two new people becoming australian citizens. I am hoping for a good dinner. "|
|positive|,|@merdujapon Really all that? I'll look for it and will report back "|
|positive|,|@shaskins too early ,,, I'll spill my corn flakes "|
|positive|,|@Somaya_Reece naw missed it and the video cool looking sexy "|
|positive|,|@maydbs Its looking like June - nice right? "|
|positive|,|@monnie Not really, injured so can't do much exercise. The KG's are coming on already. Also still looking to rent some place!!  Fun times!"|
|positive|,|#todo Cleaning the Apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean "|
|positive|,|Prom was awesome. "|
|positive|,|good to have a (boy)friend like you "|
|positive|,|Joey's getting a new lizard... This should be fun  x"|
|positive|,|working the graveyard shift! "|
|positive|,|@Maxwell5587 wow. hehehe. mushy-mushy mode. "|
|positive|,|9100 tweets....just living the rockstar life one tweet at a time. "|
|positive|,|@dayBdayPolaroid @theteganandsara follow? "|
|positive|,|@maxiec Hope the train remembers the way - they can go a bit loopy on bank holidays "|
|positive|,|possessed beyond certainty that she has made the rite decision "|
|positive|,|@DJMel oh I don't love it. Just noting that remix kids seem to "|
|positive|,|@taaaschi It's driving you insane? Really? It's Sterling Knight playing Chad Dylan Cooper on Sonny With A Chance "|
|positive|,|@TerriCook  Well I hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good "|
|positive|,|@RealBillBailey good moring mr bailey, it is my birthday today "|
|positive|,|i likee you  a lott lott .  think you really hot hot (8) good night "|
|positive|,|Seen the doctor today. Everything was fine! Might go for ultrasound scan just as a precaution "|
|positive|,|@RobKardashian Hi Rob! "|
|positive|,|just got back from rachael's house "|
|positive|,|likes the reports from testers of his new package for Synology diskstations  http://plurk.com/p/ror5d"|
|positive|,|Bruno arghhhh i cant wait "|
|positive|,|spending a 'girly' day wif my four big sisters! shopping. pedicures and dyeing eachother's hair. ohh yeah "|
|positive|,|@johna404 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy "|
|positive|,|@katrin_l unfortunately not.my work ties me down 4 the whole summer.but if there's a eu-tour this fall,I'll be there!  I want a rebound"|
|positive|,|based on the similarity between &quot;May the 4th be with you&quot; and &quot;May the force be with you&quot; today it's the &quot;Star Wars Day&quot; "|
|positive|,|Would really like to buy death note 1 &amp; 2 later this week  I loved those movies!"|
|positive|,|@ELLISNYC we should all be down to earth. don't none of us walk on water  I'm just some horny nerd trying to find my way thru life lol"|
|positive|,|@BethTana Sci-fi junkie, gamer, pianist, gin and tonic drinker, and news addict "|
|positive|,|Sweet dreams everyone! I am utterly exhausted!!! Nite nite! "|
|positive|,|@Abbie12 Thanks! Welcome back! "|
|positive|,|@roel247 Thank you good sir, it has been a surprisingly good afternoon, very productive "|
|positive|,|@Ryanimay Welcome home!  Glad you made it home safe! "|
|positive|,|i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha"|
|positive|,|Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!! "|
|positive|,|yeye! let's tweet again tomorrow, honey "|
|positive|,|@mileycyrus i dnt think i can ever get tired of&quot;The Climb&quot;its just 1 of those sngs u'll always remember  ..."|
|positive|,|@Felitherandom haha. I hope so. I need sleep! lol. But my phone will get his message if he updates us. "|
|positive|,|the best things in life are free  x"|
|positive|,|@eltonmcmanus  &amp; to you matey "|
|positive|,|off shopping in southhampton with my mummers "|
|positive|,|I go to &quot;User Experience Roundtable Hamburg - Detlev Fischer on Accessibility, BITV Test&quot; https://www.xing.com/events/333622 Don't miss! "|
|positive|,|@rezadubsteppa Yeah man, been a while since I heard you spittin'. "|
|positive|,|@lightgood Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy "|
|positive|,|@mnoxon The fans have found you!! "|
|positive|,|I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep "|
|positive|,|@ben_grubb Sweet... my friend Kevin is joining us (but I have his #). Look 4 the girl carrying a backpack &amp; boulder pad. "|
|positive|,|now we are cuddling.  girl cuddles are so fun and soft "|
|positive|,|@RaptheRenegade all good! Take a rest "|
|positive|,|@machfairy dont be gloomy...go out and get urself ice-cream.or gin,whichever "|
|positive|,|@chkndoodie no need to thank  we all just have to keep the good thought! "|
|positive|,|just got back from the long weekend "|
|positive|,|@woopow8 Hi, what are you a consultant for?  "|
|positive|,|Watching Dr. Horrible with @Bobwieck. @jenhansen don't be mad! "|
|positive|,|@WOMADABUDHABI  glad you liked it-  he's done loads of arrangements but that was the only one i could find on blip "|
|positive|,|going to Glasgow... "|
|positive|,|@mcosare FIL 461 with cool people like me "|
|positive|,|Weekend is over : Hope you all had a great weekend "|
|positive|,|@DavidArchie alright!  you should go to the market and haggle them! )"|
|positive|,|@JRulz Hello James, who are you "|
|positive|,|@clocsen I accept the blame . But I said &quot;in English&quot; (the language), couldn't say &quot;in British&quot;, could I ? "|
|positive|,|@18_2 Hey, Thanks 4 The Advice &amp; Support "|
|positive|,|@Gailporter morning to u "|
|positive|,|Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss'd!"|
|positive|,|@Imageglow you will have to unfollow some people that are not following you so you can follow new people "|
|positive|,|got hometh  armed with hair dye, a cherry ripe and cosmo "|
|positive|,|@ryanodonnell Can't you guys do something on CO-OP about Grim Fandango? Don't you wanna see it on XBLA/PSN? Call Tony Plana!  Call Tim!!"|
|positive|,|http://twitpic.com/4j99z - a gift from my boyfriend... this little guy keeps me company at night "|
|positive|,|@BlakeLewis Oh, I see!  So it's like, morning there, right? Happy breakfast! *thumbs up*"|
|positive|,|Hello  Back to work today after a week of vacation !"|
|positive|,|@AgesTheGreat tell him ill beat him up if he doesnt share "|
|positive|,|@marygrrl aww  loves you! way too cute ;)"|
|positive|,|Got back from helping my sis with stuff for my niece's 1st birthday. I saw a PSP/DS lite car charger in Toy Kingdom SM for only P250!! "|
|positive|,|@coliwilso  not much blipping lately, but i'll get onto that for you."|
|positive|,|is gonna have an irish wedding "|
|positive|,|@roynuj thank you  Feel much more relaxed now that everything isn't as scary as in the beginning "|
|positive|,|@mistressmia And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!"|
|positive|,|STEP 1: be a photoshop expert  http://plurk.com/p/ros47"|
|positive|,|What a great day! Time with some family, an amazing voice studio party at my prof's home, and a finance study date with @allyson_marie! "|
|positive|,|wlcome @johiw44 - i'm proud of my girlfriend "|
|positive|,|@beltranm hello  I'm up late playing on the internet. I love you! "|
|positive|,|Just finished studying for Abnormal Psychology. Eek. I still have two more days. I'll do more than fine "|
|positive|,|toodaayy! "|
|positive|,|@JennaMadison Ooh, coffee!  Great idea...  want one??  "|
|positive|,|@amber_benson Looks like fun doing the Macarena with a live band! "|
